AT80C51RD2-3CSUM,C51RD2 ROMless PDIL40 com 5V Green,AT80C51RD2-3CSUM,"最少订量: 9 订量单位: x9"
AT80C51RD2-RLRUM,ROMless VQFP44 3 - 5V,AT80C51RD2-RLRUM,"最少订量: 1500 订量单位: x1500"
AT80C51RD2-RLTUM,C51RD2 ROMless VQFP44 Ind 5V GREEN,AT80C51RD2-RLTUM,"最少订量: 160 订量单位: x160"
AT80C51RD2-SLRUM,C51RD2 ROMless PLCC44 com 5V GREEN,AT80C51RD2-SLRUM,"最少订量: 500 订量单位: x500"
AT80C51RD2-SLSUM,C51RD2 ROMless PLCC44 com 5V GREEN,AT80C51RD2-SLSUM,"最少订量: 27 订量单位: x27"
AT89C2051-12PU,"12MHZ, PDIP, IND TEMP, GREEN, 2.7 -",AT89C2051-12PU,"最少订量: 18 订量单位: x18"
AT89C2051-12SU,"12MHZ, SOIC, IND TEMP, GREEN, 4V -",AT89C2051-12SU,"最少订量: 37 订量单位: x37"
AT89C2051-24PU,"24MHZ, PDIP, IND TEMP, GREEN, 5V",AT89C2051-24PU,"最少订量: 18 订量单位: x18"
AT89C2051-24SU,"24MHZ, SOIC, IND TEMP, GREEN, 4V -",AT89C2051-24SU,"最少订量: 37 订量单位: x37"
AT89C4051-12PU,"8051 4K FLASH 2.7 TO 5.5V, PDIP",AT89C4051-12PU,"最少订量: 18 订量单位: x18"
AT89C4051-12SU,"12MHZ, SOIC, IND TEMP, GREEN, 4V -",AT89C4051-12SU,"最少订量: 37 订量单位: x37"
AT89C4051-24PU,"24MHZ, PDIP, IND TEMP, GREEN, 4V -",AT89C4051-24PU,"最少订量: 18 订量单位: x18"
AT89C4051-24SU,"24MHZ, SOIC, IND TEMP, GREEN, 4V -",AT89C4051-24SU,"最少订量: 37 订量单位: x37"
AT89C5115-RATUM,C51 TQFP32 16K Flash ADC GREEN,AT89C5115-RATUM,"最少订量: 250 订量单位: x250"
AT89C5115-SISUM,C51 PLCC28 16K Flash ADC GREEN,AT89C5115-SISUM,"最少订量: 38 订量单位: x38"
AT89C5115-TISUM,SOIC28 16K Flash ADC I. GREEN,AT89C5115-TISUM,"最少订量: 27 订量单位: x27"
AT89C51AC2-RLTUM,C51AC2 32kF ADC EEP VQFP44 ind 5V G,AT89C51AC2-RLTUM,"最少订量: 160 订量单位: x160"
AT89C51AC2-SLSUM,C51AC2 32kF ADC EEP PLCC44 ind 5V G,AT89C51AC2-SLSUM,"最少订量: 27 订量单位: x27"
AT89C51AC3-RDTUM,C51AC3 64kF ADC EEP VQFP64 ind 5V G,AT89C51AC3-RDTUM,"最少订量: 40 订量单位: x40"
AT89C51AC3-RLTUM,C51AC3 64kF ADC EEP VQFP44 ind 5V G,AT89C51AC3-RLTUM,"最少订量: 160 订量单位: x160"
AT89C51AC3-S3SUM,64kF ADC EEP PLCC52 ind 5V GREEN,AT89C51AC3-S3SUM,"最少订量: 23 订量单位: x23"
AT89C51AC3-SLSUM,C51AC3 64kF ADC EEP PLCC44 ind 5V G,AT89C51AC3-SLSUM,"最少订量: 27 订量单位: x27"
AT89C51CC01CA-RLTUM,CAN VQFP44 TRAY I. Bootloader CAN G,AT89C51CC01CA-RLTUM,"最少订量: 160 订量单位: x160"
AT89C51CC01CA-SLSUM,PLCC44-Stick I. Bootloader CAN I. G,AT89C51CC01CA-SLSUM,"最少订量: 27 订量单位: x27"
AT89C51CC02CA-RATUM,CAN/C51 I. VQFP32 Boot Can tray Gre,AT89C51CC02CA-RATUM,"最少订量: 250 订量单位: x250"
AT89C51CC02CA-SISUM,C51-CAN PLCC28 Bootloader CAN GREEN,AT89C51CC02CA-SISUM,"最少订量: 38 订量单位: x38"
AT89C51CC02CA-TISUM,CTRL SOIC28 Bootloader CAN I. GREEN,AT89C51CC02CA-TISUM,"最少订量: 27 订量单位: x27"
AT89C51CC03CA-RDTUM,CAN C51 64KFLASH VQFP64 CANBOOT GRE,AT89C51CC03CA-RDTUM,"最少订量: 40 订量单位: x40"
AT89C51CC03CA-RLTUM,CAN C51 64KFLASH VQFP44 CANBOOT GRE,AT89C51CC03CA-RLTUM,"最少订量: 160 订量单位: x160"
AT89C51CC03CA-S3SUM,CAN C51 64KFLASH PLCC52 CANBOOT GRE,AT89C51CC03CA-S3SUM,"最少订量: 23 订量单位: x23"
AT89C51CC03CA-SLRUM,CAN 64KFLASH PLCC44 CANBOOT GREEN R,AT89C51CC03CA-SLRUM,"最少订量: 500 订量单位: x500"
AT89C51CC03CA-SLSUM,CAN C51 64KFLASH PLCC44 CANBOOT GRE,AT89C51CC03CA-SLSUM,"最少订量: 27 订量单位: x27"
AT89C51ED2-RDRUM,C51ED2 64kF VQFP64 3-5.5V Ind Reel,AT89C51ED2-RDRUM,"最少订量: 1500 订量单位: x1500"
