parnumber,maf,cat,cat3,cap,pkg,val,dff,
DE1E3KX102MA4BN01F,,,,1000pF,,250V,,
MP2104KGD2RLC,SRD,电容,,,,275V,,
DE1E3KX472MA4BN01F,Murata,电容,,4700pF,,250V,±20%,
MP1104KRC3RLC,SRD,电容,,100nF,,300V,,
DE2E3KY472MA2BM01F,Murata,电容,,4700pF,,250V,±20%,
DE1E3KX102MA4BP01F,Murata,电容,,1000pF,,300V,±20%,
DE2E3KY472MN2AM01F,Murata,电容,,4700pF,,250V,±20%,
MEX103K275VACA01,TENTA,电容,,20.01uF,,275VAC,,
MEX224K275A233,TENTA,电容,,20.22uF,,275VAC,,
MP2104KVC3RLC,SRD,电容,,100nF,,320V,±10%,
MEX334K275A04,TENTA,电容,,20.33uF,,275VAC,,
MEX104K275A01,TENTA,电容,,20.1uF,,275VAC,,
MP2104KVC2RLC,SRD,电容,,100nF,,320V,±10%,
MP2104KGD2XLC,SRD,电容,,100nF,,275V,±10%,
MEX474K275A09,TENTA,电容,,20.47uF,,275VAC,,
MP1104KTC3RLC,SRD,电容,,100nF,,440V,±10%,
MP2154KVC3RLC,SRD,电容,,150nF,,320V,±10%,
MEX224K300A02,TENTA,电容,,10.22uF,,300V,,
MP2224KVC3RLC,SRD,电容,,220nF,,320V,±10%,
MEX473K275A01,TENTA,电容,,20.047uF,,275VAC,,
DE2F3KY103MN3AM02F,Murata,电容,,10000pF,,250V,±20%,
MP2104KGC3RLC,SRD,电容,,100nF,,275V,,
MP2224KGC3XLC,SRD,电容,,220nF,,275V,±10%,
MEX223K275VACA01,TENTA,电容,,20.022uF,,275VAC,,
B32529C3103K289,TDK,电容,,10nF,,250V,±10%,
B32529C0224J289,TDK,电容,,220nF,,63V,±5%,
B32529C1103J289,TDK,电容,,10nF,,100V,±5%,
B32529C1102J289,TDK,电容,,1nF,,100V,±5%,
B32529C1472J289,TDK,电容,,4.7nF,,100V,±5%,
B32529C0104J189,TDK,电容,,100nF,,63V,±5%,
B32529C0152K189,TDK,电容,,1.5nF,,63V,±10%,
MP1104KTD2RLC,SRD,电容,,100nF,,440V,,
MP2104KGB2RLC,SRD,电容,,100nF,,275V,±10%,
MEX105K275VAC,TENTA,电容,,21uF,,275VAC,,
B32529C0474J289,TDK,电容,,470nF,,63V,±5%,
MP1473KRC2RLC,SRD,电容,,47nF,,300V,±10%,
MP2222KGC2RLC,SRD,电容,,2.2nF,,275V,±10%,
B32529C0222J000,TDK,电容,,2.2nF,,63V,±5%,
MP2473KGC3RLC,SRD,电容,,47nF,,275V,±10%,
MP2224KVD2RLC,SRD,电容,,,,320V,,
MP1103KTC2RLC,SRD,电容,,10nF,,440V,±10%,
B32529C0105J289,TDK,电容,,1uF,,63V,±5%,
MP2474KGD4RLC,SRD,电容,,,,275V,,
MP1103KRC2RLC,SRD,电容,,10nF,,300V,±10%,
MEY222K275A01,TENTA,电容,,22200pF,,275VAC,,
MP2334KVD4RLC,SRD,电容,,330nF,,320V,±10%,
MP2473KGC2RLC,SRD,电容,,47nF,,275V,±10%,
B32652A0223J189,TDK,电容,,22nF,,250V,±5%,
B32921C3473M189,TDK,电容,,247nF,,305V,±20%,
MP1683KTC3RLC,SRD,电容,,68nF,,440V,±10%,
B32560J1474K000,TDK,电容,,470nF,,100V,±10%,
MP2224KGD4RLC,SRD,电容,,220nF,,275V,±10%,
MP1224KRD4RLC,SRD,电容,,220nF,,300V,±10%,
